id,Annotated tweet,,classification,,
84,"#<e>Romney</e> accuses critics of his <a>tax plan</a> of using calculators: ""My numbers were pulled directly from my magical ass"" http://t.co/YvXAfvbo",,_TEST_,,
85,".@davidaxelrod ""We the small, we are very strong"" <e>ROMNEY</>/BAIN China Outsourced <a>French workers</a> #Bainport #Sensata http://t.co/rCw5SwbG",,_TEST_,,
86,@Claremonster: Mitt <e>Romney</e>'s <a>financial plan</a> http://t.co/JSe9cov7 omg this is the best thing,,_TEST_,,
87,@Likonium It should be the other way around. You'll be more likely to <a>find a job</a> after <e>Romney</e> gets elected.,,_TEST_,,
88,<a>Women</a> moving to <e>Romney</e>,,_TEST_,,
89,"@AnnDRomney Praying 4 Mitt and our Country. God provides the strength of message, and has given <e>Mitt</e> the <a>talents</a> to deliver it. Go Mitt!",,_TEST_,,
90,"@Jennyablue plus no matter what happens the media <a>will cry</a> zomg! <e>romney</e> won! cant tell a lie! look at the ""mittmentum"" building @tcoop122",,_TEST_,,
91,"@DK1590, I agree <e>Romney</e> needs to <a>elaborate</a> a little more.",,_TEST_,,
92,<e>women</e> push <e>Romney</e> into lead. says #usatoday...like...wtf!? why? WOMEN. get it TOGETHER.,,_TEST_,,
93,I believe <e>Mitt</e>'s slight <a>lead in RCP national average</a> means he's actually significantly ahead bc  averaged polls still biased toward Dems,,_TEST_,,
94,@BillMedley1 I'm working away this morning. I'm excited about the<a> debate</a>. I want <e>Romney</e> to seal the deal! Will you call him &amp; tell him?,,_TEST_,,
95,"@DianneInIndiana @KatyinIndy Yes, Yes, Yes &amp; Yes. Too bad more don't see this. They are blinded thinking a #<e>Romney</e> <a>victory</a> will fix all.",,_TEST_,,
96,- Former President George W. <a>Bush re-affirmed his support</> of Mitt <e>Romney</>... http://t.co/C33e0lIg,,_TEST_,,
97,"@AdamGraySays    Well there you go then, <e>Romney</e>'s up 1. Not much of  surge is it...",,_TEST_,,
98,@JBabits hopefully he <a>wins</a>. America is done for if <e>Obama</e> wins again. I just wish America would grow a brain and realize that. Although <e>RomneY</e>,,_TEST_,,
99,@betty_five Mitt <e>Romney</e>.,,_TEST_,,
100,"<a>Zionist U.S. College Students</a> Are Favoring<e>Romney</e>: For Zionist students, <a>foreign policy</a>, and particularly the ca... http://t.co/hElIPq5h",,_TEST_,,
101,@TerryMoran  #<e>Obama</e> said #Americans increasingly Naiive https://t.co/0VP9t7gG He thinks he can<a> fool the people</a> all of the time #vote<e>Romney</e>,,_TEST_,,
102,"@Jaykelllz If he does the bullshit he did the last debate, might as well spoon feed <e>Romney</e> the election",,_TEST_,,
103, <e>Romney</e>'s campaign and @dansenor and @jasoninthehouse <Crickets!!!> Wow it's mighty quiet out there.. #msnbc2012 #Debates,,_TEST_,,
104, @rammanson1 I'm getting a better feeling about <e>Romney</e> by the day. Actually think he may win,,_TEST_,,
105, Let's get ready to rumble!!!!!!!!!! Team <e>Romney</e> up and ready to go!,,_TEST_,,
106, <e>Romney</e> yo. âœŒ,,_TEST_,,
107, Hang another one up for <e>Romney</e>! #<e>Romney</e>Ryan2012,,_TEST_,,
108," ""@MsSonyaJizzle: ""Governor <e>Romney</e> showed that the first <a>debate</a> was not a fluke.""""damn Sonya u for Rommey???",,_TEST_,,
109," According to Paul Ryan email I just received, Mitt <e>Romney</e> ""crushed it"" tonight. Cool story, bro.",,_TEST_,,
110, Vegas focus group says #<e>Romney</e> won,,_TEST_,,
111," Regardless of what the pundits are saying, <e>Romney</e> won again. #Debate2012",,_TEST_,,
112," Stephen Schwarzman, chairman of the world's largest private equity firm, endorses Mitt <e>Romney</e> Nov 28, 2011 http://t.co/AgF4koyw #EndorseMITT",,_TEST_,,
113," That @FrankLuntz focus group is a real hoot. ""<e>Romney</e>!"" #figures",,_TEST_,,
114, I would say that we should settle the presidential race over a basketball game but we all know who would win. <e>Romney</e>'s J is amazing.,,_TEST_,,
115, I've decided to vote <e>Romney</e>.   Ha ha ha. Good night!,,_TEST_,,
116, @KarlRove <e>Romney</e> was the clear winner on more points.,,_TEST_,,
117, Gallup: <e>Romney</e> Jumps to 4 Point Lead Ahead of <a>Debate</a> http://t.co/ACxIHZR3,,_TEST_,,
118, @eclarkster going on the line <e>Romney</e> will win,,_TEST_,,
119, @megynkelly I want to say <e>Romney</e> cares..he truly does I seen that in this <a>debate</a>. He is honest hardworking Godly and caring.,,_TEST_,,
120," All I have to say is, <e>Romney</e> all the wayðŸ‘",,_TEST_,,
121, <e>Romney</e> for President http://t.co/rglpxGi2 via @newyorkobserver,,_TEST_,,
122, I barely got to watch the #presidential<a>debate</a> but <e>Romney</e>'s views on <a>immigration policy</a> are rather impressive,,_TEST_,,
123, oven. mitt. bwa. ha. ha. RT @jbossbrown OvenMitt <e>Romney</e> was getting a little too close to my president.,,_TEST_,,
124, CU formula 100% right in picking winner since developed in 1980. Says 77% likelihood <e>Romney</e> is next president http://t.co/9UwLReZo #<a>debate</a>,,_TEST_,,
125," ""I believe Governor <e>Romney</e> is a good man. I believe that he said behind closed doors that <a>47%</a> of Americans are victims"" - President <e>Obama</e>""",,_TEST_,,
126," Trust me, Candy Crowley's revelation after the <a>debate</a> that <e>Romney</e> was ""right in the main"" on Libya will not matter tomorrow.",,_TEST_,,
127, <e>Romney</e> ftw #<e>Romney</e>forpresident,,_TEST_,,
128, @timminycricket @2hrsand7mins Fox News says that #<e>Romney</e> won our relationship,,_TEST_,,
129, I hope <e>Romney</e> wins,,_TEST_,,
130,"@GhettoEnglish: Bands will make <a>her</a>dance , stamps will make her twerk , If <e>Romney</e> becomes president , all these hoes will have to work.",,_TEST_,,
131,"POTUS should strongly show he lowered debt NOT raised. <a>Handling debit </a>only issue in <e>Romney</e> + column. Fast, passionate and no heavy math.",,_TEST_,,
132,"Amen..RT @csimm16: Dear Lord, Gv Future Prsdnt <e>Romney<e> the<a> insightshow his grace</a>, the<a> knowledge of right & wrong</a> the<a> courage 2 fight for us.</a>",,_TEST_,,
133,<a> Five Reasons</a> Why Itâ€™s President<e> Romney</e> http://t.co/fzEaloUY via @theblaze,,_TEST_,,
134,"Bands will make <a>her</a> Dance, Stamps will make her Twerk, If <e>Romney</e> becomes president, These girls will have to Work",,_TEST_,,
135,@ibhsffo @OhioAllenJNS Whatevs. <e>Romney's</e><a> winning this thing</a>.11/7 is gonna be a day of morning for Obama pod people,,_TEST_,,
136,David Stockman On <e>Mitt Romney</e>: 'He Was<a> A Master Financial Speculator'</a> http://t.co/gsFhYnmf via @HuffPostBiz operative word RIGGED,,_TEST_,,
137,Stephen Colbert says <e>Mitt Romney </e>has '<a>good shot' of winning </a>http://t.co/DNRKiijl,,_TEST_,,
138,"""@MikeEpps___: Bands will make<a> her</a> dance , food stamps will make her twerk , If <e>Romney</e> becomes president , these hoes will have to work.""",,_TEST_,,
139,I know I'm just a teen but come on <e>romney</e>> <a>come on win </a>please I'mRooted for you!,,_TEST_,,
140,http://t.co/21E6THft @AbbyBritt8 @CNNMex_ @Franchulo @JohnBelt4 <e>Mitt Romney </e>for<a> POTUS</a>,,_TEST_,,
141,"Plz flw @HipHoptimum: <a>Lindsay Lohan Endorses</a> <e>Romney</e>, And It's Actually A Really Big... http://t.co/Q7OZKODc",,_TEST_,,
142,"Love Duvall...he's a Texan :) @slone: ROBERT DUVALL: Oscar-Winner Duvall Hosts<e> Romney </e><a>Fundraiser</a> http://t.co/kOJ63cFb #tcot #tlot #teaparty""",,_TEST_,,
143,@tdavis_12 no<e> Romney</e> has on<a> his agenda that he will</a> Thats what my tweets are about.,,_TEST_,,
144, @megynkelly i am a middleclass woman who is voting for <e>Romney</e> .My <a>health insurance</a> tripling the last two years doesn't help.i deserve better,,_TEST_,,
145," Media all seems to go with ""draw.""  Perhaps on ""style,"" but I don't think any objective viewer can say <e>Romney</e> didn't win <a>economic substance</a>.",,_TEST_,,
146, No capital gains <a>taxes</a> for middle class investors?  Yeah!  <e>Romney</e> has my vote! #debates,,_TEST_,,
147, Vote <e>Romney</e> because <a>jobs</a>,,_TEST_,,
148," @BUCKleupBorn right, right. Sense youre so politically aware, i'm sure you know CNN immediately declared <e>Romney</e> victor last debate",,_TEST_,,
149, @BillHemmer Course of election is already leaning toward Gov. <e>Romney</e>.  This can only help.,,_TEST_,,
150, Mitt <e>Romney</e> all the way!!!,,_TEST_,,
151," <a>Votes on Economy, Healthcare, Deficit, and Tax categories</a> all won by Mitt <e>Romney</e> tonight #Debate2012",,_TEST_,,
152," Cnn poll shows <e>Romney</e> won on <a>economy, taxes and health care</a>...big.  This will not slow his momentum!",,_TEST_,,
153," Both men had their points tonight. I respect both of them, but I think <e>Romney</e> is the way to go.",,_TEST_,,
154, I'm going for <e>Romney</e> #Romney2012,,_TEST_,,
155," Ok, ok--I've made up my mind, I'm voting for <e>Romney</e>!",,_TEST_,,
156," CNN poll respondents also think <e>Romney</e> would do better on <a>taxes, deficit and especially the economy</a>.",,_TEST_,,
157," <e>Romney</e> is a <a>businessman</a> that built businesses created jobs, and improved schools in his state as governor.",,_TEST_,,
158, @billmaher Candy Crowley just admitted that she was wrong and <e>Romney</e> was right. #debates,,_TEST_,,
159," Ill call it right now, <e>Romney</e> will <a>win</a> the election and the economy will get better by default",,_TEST_,,
160, Uhhh were you even watching? @RepublicanGOP RT <e>Romney</e> has <a>won</a> this debate without a doubt.,,_TEST_,,
161," The mediator just came out, after rechecking the facts, and admitted that <e>Romney</e> was correct on the <a>Libya issue</a>. #debate",,_TEST_,,
162," ""wow! I love Jesus! <e>Romney</e> loves Jesus! We both love Jesus! He must know all of the fine details of <a>our delicate economic state</a>!""",,_TEST_,,
163, <e>Romney</e> Was Actually Right On <a>Libya</a> ...that is all,,_TEST_,,
164," Mitt <e>Romney</e> was born <a>rich</a>, I can't vote for a nigga that never ate ramen noodles. >.<",,_TEST_,,
165, <e>Romney</e> you have my vote #wheresmybinder,,_TEST_,,
166, #KSLPOLITICS Loved when <e>Romney</e> told <e>Obama</e> to sit down and wait his turn!!,,_TEST_,,
167, I think <e>Romney</e> won this one. I KNOW he must have one best <a>hair</a>. Oh and best <a>economic policies</a> I almost forgot. Silly me. Too much scotch.,,_TEST_,,
168," Gov <e>Romney</e> will be much better able to handl <a>business aspects of US government</a>, including unemployment and low wages. He won the debate!",,_TEST_,,
169," I will admit this, <e>Romney</e> does have a fully decked staff of women on his cabinet, which shows he cares for <a>womens work rights</a>, to an extent",,_TEST_,,
170, @IJasonAlexander CBS Poll: <e>Romney</e> Wins 65-34 on <a>Economy</a>,,_TEST_,,
171, @seanhannity I hope that this debate has helped the undecided to realize that the change we need now is <e>Romney</e>.,,_TEST_,,
172," <e>Romney</e>, Ladies. He'll let you <a>leave work early</a> so you can go make dinner!",,_TEST_,,
173, @_renefrancis <e>Romney</e> isn't taking away your <a>rights</a>. Stahp.,,_TEST_,,
174, But <e>Romney</e> does kinda have a sexy <a>voice</a>...,,_TEST_,,
175," I don't care if people hate me or not, but I'm definitely rooting for <e>Romney</e> in this election.",,_TEST_,,
176, I'm voting for Mitt <e>Romney</e> as president and praying for the Rapture. Hope one of them comes before the end of the year.,,_TEST_,,
177, As us the fact that <e>Romney</e> is the only candidate that can <a>turn this economy around</a>. #lt #truth,,_TEST_,,
178, @Travesham @kesgardner <e>Romney</e> really won on <a>economy</a>. Most voters will be voting on that.,,_TEST_,,
179, At least <e>Romney</e> <a>won</a>. LOL,,_TEST_,,
180," @KarlRove @gretawire <e>Romney</e> did well, clear and direct.",,_TEST_,,
181," ""I'm voting for <e>Romney</e> because he's a <a>businessman</a>"" yes because a business is equal to a country, Lolz @ some voters #DemocracyProblems?",,_TEST_,,
182, #Greta #bcca we have had atrocious job counts for last 4 years.  <e>Romney</e> has a <a>plan</a>.  Clear win!!!,,_TEST_,,
183," @cavsfanaholic Yes, mostly leaning toward <e>Romney</e> because if his <a>5 (1) point plan</a>.",,_TEST_,,
184,Ross Perot Endorses <e>Mitt Romney</e> For President http://t.co/uBBCua7B,,_TEST_,,
185,Pray for <e>Mitt Romney</e>. Tonight's the presidential debate! May the LORD remove the scales from the eyes of the American people.,,_TEST_,,
186,"@Talkmaster Ur response on the 47% great. What u speak is the truth. <e>Romney</e> just needs to speak the truth, and the truth shall set us free.",,_TEST_,,
187,"<e>Romney</e> hits 50%, leads by 4 in PPP/Daily Kos national poll: Widening. Last week, I approvingly linked... http://t.co/oIxzbgyG #tcot #gop",,_TEST_,,
188,Poll Shows <e>Romney</e> Narrowing Gaps In Key Attributes http://t.co/lu7hZ3zt via @HuffPostPol,,_TEST_,,
189,<e>Romney</e> on the rise in Ohio The Columbus Dispatch - http://t.co/SnxMonw9,,_TEST_,,
190,"The Laconia, NH Citizen endorses <e>Romney</e>: ""The Time For Change Is Now."" Editorial here: http://t.co/93IoWIFL",,_TEST_,,
191,Prediction: <e>Romney</e> wins Pa. Polls moving his way and fellow congregants at my liberal shul want a reason to vote R. http://t.co/8cr8eqlO,,_TEST_,,
192,BREAKING: Perot endorses <e>Romney</e> Ryan in 2012 http://t.co/J8kPOuxq,,_TEST_,,
193,<e>Mitt</e>: I Won,,_TEST_,,
194,"Perot backs <e>Romney</e>, citing 'unsustainable course': Former presidential candidate Ross Per... http://t.co/7EZnuFYj (http://t.co/gvptTjwn)",,_TEST_,,
195,@<e>MittRomney</e> Good luck tonight <e>MittRomney</e>. Remember articulating conservatism without apology never loses.,,_TEST_,,
196,@andilinks Liberal MSM is ignorant of <e>Romney</e>'s debate skills.  <e>Romney</e> has gears he hasn't used against BO.,,_TEST_,,
197,Go <e>Mitt</e> we are behind you. We know you can debate!!!,,_TEST_,,
198,H. Ross Perot: Endorses <e>Mitt Romney</e>. http://t.co/NpDW9hcD via @dmregister,,_TEST_,,
199, <a>NJ delegates</a> put <e>Romney</e> over the top as #RNC officially nominates him for president. Live blog: http://t.co/p2SlB90y #bieberforcrystal,,_TEST_,,
200," @piersmorgan: Why I think <e>Romney</e> may win the Election, & why that may be no bad thing for America's economic recovery: http://t.co/B6GZnkZq",,_TEST_,,
201, <e>Obama </e>is practicing <a>acting passionate</a> & more aggressive for the<a> debate</a>.Why the need to practice or act what should come natural? #<e>Romney</e>2012,,_TEST_,,
202, Mitt <e>Romney</e> in the <a>lead</a> .,,_TEST_,,
203, Bring on the #Rapture. <a>Vote</a>  #<e>Romney</e> #Broncos,,_TEST_,,
204, <a>Vote</a> Mitt <e>Romney</e>,,_TEST_,,
205, Mitt <e>Romney</e> donated $3 million to <a>charity </a>last year. Biden gave $353. the Democrats are somehow more in touch with the poor... #RomneyRyan,,_TEST_,,
206, Can't wait to watch <e>Romney</e> make Obama look like a tard again tomorrow night #NOBAMA,,_TEST_,,
207," As expected, <a>new poll</a> shows #independent voters favored #Ryan over #Biden by +11 points in #VPdebate. http://t.co/vTA2LiQz || #TCOT #<e>Romney</e>",,_TEST_,,
208," Honestly thought<e> Romney</e> has <a>debate skills</a> so I mean some people who think ""Obama should sock Romney"" need to stop. Support with reason.",,_TEST_,,
209, I think <e>Romney</e> gone <a>win</a>,,_TEST_,,
210, You are embarrassing yourself.<a> Bain Capital</a>  bought 51.8% of<a> Sensata</a>  years after<e> Romney</e> left @1979monica,,_TEST_,,
211," @Jake_Gyllenhaal  Thanks for having the courage to say that as a <a>Democrat</a>, you support <e>Romney</e>.  #RomneyRyan2012",,_TEST_,,
212, Unions say same thing in MA for Warren or they r fined @NBCNewsBusiness Koch brothers to workers <a>Vote</a> <e>Romney</e> or else http://t.co/S1fpdtw5â€,,_TEST_,,
213, Thanks be to God: <e>Romney</e> <a>surging</a> http://t.co/zBn6lmob,,_TEST_,,
214, Mitt <e>Romney</e> is the only ONE who can put our <a>country</a> back on right track Facts Are Clear: http://t.co/XrvgyBiF via @youtube,,_TEST_,,
215," With a <e>Romney</e> presidency, we will have an abundance of cheap energy to <a>grow the economy</a>, create jobs, and prosperity for all Americans!!!",,_TEST_,,
216, @gretawire <e>Romney</e> all the way.,,_TEST_,,
217, <a>Tyler Perry</a> killing people in movies now ... <e>Romney</e> bout to win lmao !!!,,_TEST_,,
218," Mitt <e>Romney</e>, I would<a> vote</a> for you, but see the way my <a>financial aid </a>is set up...",,_TEST_,,
219," Yes, <a>Blacks</a> Do Support <e>Romney</e>--Because They Care About America's Future, Not One Man's Ego http://t.co/UMg6xbwJ via @BreitbartNews",,_TEST_,,
220," <e>Romney</e> closing gap in Ohio as <e>poll numbers</e>, crowds rise http://t.co/JgTnEu6t",,_TEST_,,
221, I hope <e>Romney</e> wins the <a>election</a> this year. He definitely has my <a>vote</a>.,,_TEST_,,
222, Please <a>win</a> @Mitt <e>Romney</e> ..please ._.,,_TEST_,,
223,"<a> Voting</a> for <e>Romney</e>, I have my reasons.",,_TEST_,,
224, PPP Poll: <e>Romney</e> Surges to Gain <a>Lead in Florida</a>:  http://t.co/agtceQrY #tcot,,_TEST_,,
225, Bidenâ€™s Teeth Are So <a>White</a> That Theyâ€™re Voting For <e>Romney</e> http://t.co/kGatPDm1 via @TheDailyRefried #latism,,_TEST_,,
226, @PhilipGriffith Just <a>vote</a> for <e>Romney</e> and Ryan and yiu won't have to worry about it.,,_TEST_,,
227, #<e>Romney</e> He is the <a>best</a>!!,,_TEST_,,
228, Meet 6 <a>black women voting</a> for<e> Romney</e> http://t.co/SLIZRdsV,,_TEST_,,
229, PIERS MORGAN: Mitt <e>Romney</e> might just <a>save America</a> http://t.co/oCGeJxUd via @MailOnline,,_TEST_,,
230, If Mitt <e>Romney</e> <a>Win</a>s..What Y'all Niggas Gone Do? Other Than Sign Into Twitter & Bitch About It?.......,,_TEST_,,
231, I'm glad to see all of the <e>Romney</e> Ryan <a>signs in people's yards</a>,,_TEST_,,
232, So I'm not really to into<a> politics</a>. But I was just informed on so much. & as of right now I'm going for <e>Romney</e>.,,_TEST_,,
