id,Annotated tweet,,classification,,,,,,,
72," ""Every single American deserves to be treated in the eyes of the <a>law</a> & in the eyes of our society."" -Barack <e>obama</e>",,_TEST_,,,,,,,
73,<a> Malia Burgun</a> liked <e>obama</e> announces U.S. sanctions against telecoms in Iran,,_TEST_,,,,,,,
74, She supported the <e>obama</e> campaign with regards to <a>social media</a>,,_TEST_,,,,,,,
75, I like Barack <e>obama</e>. I don't give a shit what anyone thinks. He's a genuinely <a>nice guy</a>. He's got a nice family. He's good shit. :),,_TEST_,,,,,,,
76," OMG ""The Voice of God <a>narrates</a> latest <a><e>obama</e> ad</a>. | elephant journal"" ( http://t.co/4JkxxHc8 ) // but this OMG does not ",,_TEST_,,,,,,,
77, â€œ@TruthTeam2012: FACT: More than two-thirds of <a>al-Qaeda</a>â€™s leadership has been eliminated since President <e>obama</e> took office. #Lies #nwo #war,,_TEST_,,,,,,,
78," "" just give <e>obama</e> <a>another chance</a> "" - Madonna",,_TEST_,,,,,,,
79, Lots hanging in the balance for this debate! Pres <e>obama</e> needs 2 make the case 4 <a>re-election</a> & #DEM philosophy. ,,_TEST_,,,,,,,
80, These are people who <a>voted</a> for <e>obama</e>. These folks actually go to the voting booths. http://t.co/ltaG7WLJ  â€¦,,_TEST_,,,,,,,
81, #MyThoughtsDuringSchool I hope <e>obama</e> <a>win</a>s the election.,,_TEST_,,,,,,,
82, Energized <a>VP</a> may have saved <e>obama</e> campaign  http://t.co/kLSgobKi,,_TEST_,,,,,,,
83,<a> Sacbee - Endorsements</a>: Barack <e>obama</e> for president http://t.co/ERoiDwCz,,_TEST_,,,,,,,
84, Our financial aid to radical <a>middle east nations</a> must stop  - Join me & tell #<e>obama</e> to stand up for America http://t.co/N08z8xbt,,_TEST_,,,,,,,
85, @Kate_Mcaleenan The next step for my dream <the perfect life for the next child  in the future>is Barack <e>obama</e> president! <a>Now and forever</a>!,,_TEST_,,,,,,,
86, @Camfed The next step for my dream <the perfect life for the next child  in the future>is Barack <e>obama</e> president! <a>Now and forever</a>,,_TEST_,,,,,,,
87, #Zazzle trending gifts : <a>Re-Elect</a> <e>obama</e> Biden 2012 Buttons http://t.co/wPs6gY0v #zazzle,,_TEST_,,,,,,,
88, <e>obama</e>'s '<a>honest</a> and <a>trustworthy</a>' advantage â€” and what it means for the second ... - Washington Post (blog),,_TEST_,,,,,,,
89,<a> Economic charts</a> support <e>obama</e> claims on economy.  http://t.co/gAokDoym,,_TEST_,,,,,,,
90, I'm not even giving people an option. <a>Vote</a> <e>obama</e>!,,_TEST_,,,,,,,
91, <e>obama</e> Admits <a>Gun Control</a> Plans http://t.co/zY0SDTve,,_TEST_,,,,,,,
92, '<e>obama</e> administration <a>failed</a> miserably to protect <a>Stevens</a>'http://t.co/kTzibdVF,,_TEST_,,,,,,,
93, Why <e>obama</e> Now: http://t.co/eNxMVjz7 via @youtube :) > <e>obama</e> for a <a>better future</a>,,_TEST_,,,,,,,
94," """"This newspaper has not endorsed a Dem in 50+ years"" --  <e>obama</e> is <a>best choice</a> for president http://t.co/vvOmp7rn (via @journalnow)",,_TEST_,,,,,,,
95, @realDonaldTrump All <e>obama</e> has to do is show up and he will do better than the first one! I'm sure <a>he is doing well</a> memorizing all the lies.,,_TEST_,,,,,,,
96,<a> <e>obama</e> 2012</a>,,_TEST_,,,,,,,
97, @AnotherUpstart Yea & 'everbody n Ohio got <e>obama</e> <a>phone</a>' & we got fd Stmps & ALL over th Cradle2gravers get it all-2013 mor frm Med 2 MCaid!,,_TEST_,,,,,,,
98, A <a>vote</a> for #<e>obama</e> is an investment in a <a>strong future</a> which is why The Philadelphia Inquirer endorses his <a>reelection</a>. http://t.co/T4lpReIv,,_TEST_,,,,,,,
99, i do <a>vote</a> for <e>obama</e> tho,,_TEST_,,,,,,,
100, i think <e>obama</e> is <a>winning</a> :D,,_TEST_,,,,,,,
101, <e>obama</e> will start his <a>2nd term</a> in les than a month! #<e>obama</e>2012 #Bow,,_TEST_,,,,,,,
102, Its Time For A Change  A Change In Me ! -<e>obama</e> ! #<a>Vote</a><e>obama</e>,,_TEST_,,,,,,,
103, Bin Laden gone. America out of <a>Iraq</a> shortly Afghanistan. <a>Medicare</a> improved Affordable <a>Health Care</a> for citizens accomplished. #<e>obama</e>,,_TEST_,,,,,,,
104," A must read piece by the brilliant @Toure ""Don't worry <e>obama</e>'s still got this"" http://t.co/PiWrOrW2 via @nydailynews #election2012 #<e>obama</e>",,_TEST_,,,,,,,
105, #LarryKingColumn Myron Cohen tells me that <a>Florida</a> is sure to go for <e>obama</e>. This man's auidence is still in Florida,,_TEST_,,,,,,,
106,@Barack<e>Obama</e> Mr. President I believe that you will answer with appropriate support <e>Romney attack's.</e>,,_TEST_,,,,,,,
107,@beccaa__ thanks. If it wasn't for <e>Obama</e> not only would my dad have lose everything yours would have too.<a> Pensions</a> and all,,_TEST_,,,,,,,
108,<a>Women</a> for <e>Obama</e>! RT @americassoul: <a>Republican Attack on Women's Rights</a>. Part 1: http://t.co/TKbDCBNH via @YouTube #fem2 #p2,,_TEST_,,,,,,,
109,"@Barack<e>Obama</e> Pls inform the public, that if <a>Romney wld hve sent troops</a> in, then how much more <a>debt</a> that would hve causd...",,_TEST_,,,,,,,
110,"<a>437,000 jobs</a> in last 3 months. <a>Dow at 5 yr high</a>. Consumer confidence up. Home prices rising. $300B cut in deficit vs. 2011. #forward #<a>Obama</a>",,_TEST_,,,,,,,
111,.@petersuderman That + <a>town hall format</a> is why I'm betting on an <e>Obama</e> win.,,_TEST_,,,,,,,
112,@jechoot1 PRESIDENT <e>OBAMA</e>'S JOB PERFORMANCE DOES NOT <a>WARRANT</a> REELECTION- I've posted sarcastic reasons to reelect him #whyreelectobama,,_TEST_,,,,,,,
113,We owe <e>Barack Obama<e> big time. Few presidents have dealt with such an <a>obstructionist opposition</a> and STILL moved us forward... #ctl #tcot #p2,,_TEST_,,,,,,,
114,Students Pick <e>Obama</e> 51 to 45. They have mirrored the actual outcome of all but two <a>presidential elections</a> since 1940. http://t.co/22xNJDPg,,_TEST_,,,,,,,
115,"@Amani_Lebanon @chengugold To start an <a>""Iranian led"" revolution</a>, make the people suffer. Nice one <e>Obama</e> et al. #NotSuprisedButStillSickened",,_TEST_,,,,,,,
116,FYI. #GlideChurch #GLIDEsf #Obama  RT @HuffingtonPost: WATCH: <a>LGBT celebrities star</a> in new video supporting <e>Obama</a> http://t.co/WqT5kPJl,,_TEST_,,,,,,,
117,@ByronYork This type of tactic from the <a>NYT</a> doesn't surprise me.  They have lost all integrity since they threw it all in for <e>Obama</e>.,,_TEST_,,,,,,,
118,"@Lpbrant @GbrantGary Forgot about Ruby!  OK, I'm switching to <e>Obama</e> now.  Sold.",,_TEST_,,,,,,,
119,I'm speaking it into existence. <e>Obama</e> <a>wins</a> tonight. Hands down.,,_TEST_,,,,,,,
120,"@realus232 92% of <a>O supporters</a> following elec very closely <e>Obama</e> ""definitely"" support him vs. 78% of those following less closely",,_TEST_,,,,,,,
121,@JohnWilson Bill's going all-in TODAY for Pres. <e>Obama</e>. He's <a>no fool</a>. All on the same page. Think we'll see tonight.,,_TEST_,,,,,,,
122,<e>Obama</e> did not qualify for the error exists with the elections so I expected his<a> victory</a>.,,_TEST_,,,,,,,
123,"@PoofImGraham Latest political stunt: ""Rumor"" has it, <e>Obama</e> is planning a '<a>gutsy</a>' move against militants.",,_TEST_,,,,,,,
124,@AliNBCNews even Gene Simmons is bailing on <e>Obama</e>...,,_TEST_,,,,,,,
125,@TashaOuch RT @Barack<e>Obama</e>: Just 21 days until Election Day RT if youâ€™re <a>ready 2 cheer</a> on President <e>Obama</e> tonightâ€™s debate #Team<e>Obama</e>Biden,,_TEST_,,,,,,,
126,@_JJenkins nah it's not. <e>obama</e> was put in a fucked up <a>situation</a>. it takes time for change but you know people are impatient. romney's ready,,_TEST_,,,,,,,
127,"You won't have to #<a>FightForJobs<a> once #<e>Obama</e> gets the boot, people will start hiring again. There's nothing wrong with America.",,_TEST_,,,,,,,
128,"@Team_Shep. Unless the audience is nothing but <a>CEOs,  definitely</a> <e>Obama</e>",,_TEST_,,,,,,,
129,"Wish these ppl stop tweeting me just because they support <e>Romney</e> n I <a>support</a> <e>Obama</e>. Re-effing-lax, its all good to have differing views",,_TEST_,,,,,,,
130,"Despite Ryan's Heritage, Ireland Sticks With <e>Obama</e> ~ #jdforward http://t.co/DDmx2DCT",,_TEST_,,,,,,,
131,"You won't often catch me defending <e>Obama</e>, but sub-$2 <a>gas prices</a> when he took office were temporary. It was over $4 a month prior under Bush.",,_TEST_,,,,,,,
132,"RT New Yorkers, <a>show ur support</a> for <e>Obama</e> tonight with patriotic banners and <e>Obama</e> signs outside the debate venue! Show Mitt he's not wanted",,_TEST_,,,,,,,
133,"@GMA Agree that President <e>Obama</e> must be <a>assertive<a/>  and direct with <a>short, clear answers</a>.",,_TEST_,,,,,,,
134,@AmeenOutspoken <e>Obama</e>,,_TEST_,,,,,,,
135,@AntReis2830 This is true. But now <e>Obama</e> knows what to expect and can come back stronger.,,_TEST_,,,,,,,
136,"If <e>Obama</e> <a>Loses</a>, I Say We Move To Europe... NIGGAS IN PARIS!",,_TEST_,,,,,,,
137,WOW! An incredibly moving and effective <e>Obama</e><e> ad </e>highlights the progress of <a>LGBT community</a>. A MUST SEE!  #forward2012  http://t.co/P1Adj9Ch,,_TEST_,,,,,,,
138,#<e>Obama</e> seems I was absolutely right about the <a>Libya drama</a>. ambassador left for dead executed by Al Qaeda  admission http://t.co/NKfLDIVWâ€,,_TEST_,,,,,,,
139,Team <e>Obama</e>  all day,,_TEST_,,,,,,,
140,@thedailybeast <e>Obama</e> took the right stance i the debate.,,_TEST_,,,,,,,
141,"If you don't want any changes and empy promises, by all means please <a>vote</a> for <e>Obama</e>. #actuallydont #worriedforthiscountry",,_TEST_,,,,,,,
142,"Republican Steve Schmidt: ""Clear <a>victory</a> for the President."" CBS snap poll: <e>Obama</e> wins http://t.co/k6GRAmWi #TeamBarack",,_TEST_,,,,,,,
143,<e>Obama</e> #4moreyears !!,,_TEST_,,,,,,,
144,"I value my <a>education</a>, my <a>womanhood</a>, my future, my children and I embrace <a>diversity</a>. <e>Obama</e> stands for all of that #Team<e>Obama</e>",,_TEST_,,,,,,,
145,"I'm not voting for <e>Obama</e> because he's black, I dislike <e>Romney</e>'s policies, <e>Obama</e> just happens to be black.",,_TEST_,,,,,,,
146,@ReturnOfDaMAcks darn bro now I feel bad! Sorry sweetie* but <e>Obama</e> when in today- <3,,_TEST_,,,,,,,
147,Hey <e>Obama</e> what did you say your future plan was again? Oh wait I couldn't hear u over ur terrible presence and wasted <a>promises</a>.,,_TEST_,,,,,,,
148,New pick up line : yo you like President <e>Obama</e> ? Yeah ? yo I work for him #AirForcePride,,_TEST_,,,,,,,
149,"Great piece! ""@AnnCoulter: ...No, <e>Obama</e> Didn't Call <a>Benghazi</a> ""Act of Terror"" in Speech - http://t.co/aCRn9QVx"" #tcot #p2",,_TEST_,,,,,,,
150,I really hope <e>Obama</e> and <e>Romney</e> fight it out with <a>drones</a> in the next <a>debate</a> - two US citizens enter and neither leaves with due process!,,_TEST_,,,,,,,
151,<e>Obama</e> <a>won</a> this debate. Whew. Can go to sleep now.#<e>Romney</e>GOgringoGO,,_TEST_,,,,,,,
152,<e>Obama</e> <a>won</a>.,,_TEST_,,,,,,,
153,"â€œ@billmaher: Not cool: after <e>Obama</e> and <e>Romney</e> cross paths on stage, <e>Romney</e> checks for his walletâ€ (I snotted myself on that one!)",,_TEST_,,,,,,,
154,â€œ@Hailey__May: I like <e>Obama</e> !â€ *Unfollwed,,_TEST_,,,,,,,
155,Proud to have #<e>Obama</e> for Prez and representing #CHICAGO and the #USA.  #<e>Obama</e>2012 #<e>Obama</e>ForPresident,,_TEST_,,,,,,,
156,#<a>Debate</a>   **<e>Obama</e>**,,_TEST_,,,,,,,
157,"#Debates2012 ><e>Romney</e> was on an interview and didn't know the answers to the questions.  So, DON'T give him the job!  #<e>Obama</e>2012",,_TEST_,,,,,,,
158,@rauldemolina <e>Obama</e>!!,,_TEST_,,,,,,,
159,It took <e>Obama</e> 2 weeks to say Benghazi was a <a>terror attack #fail,,_TEST_,,,,,,,
160,"@BretBaier @FoxNews @megynkelly   <e>Obama</e> blew his credibility for the whole evening with his ""lie"" about his first response on Libya.",,_TEST_,,,,,,,
161,"Well as always <e>Obama</e> did nothing but lie, spew rhetoric, & give<a> empty speeches</a> &<a> promises</a>. Just like the last four years...",,_TEST_,,,,,,,
162,"CBS poll gives <e>Obama</e> 7 point<a> victory</a>, far less than I thought they would. 1 in 2 undecideds gave <e>Romney</e> edge in econ discussions. Hmm.",,_TEST_,,,,,,,
163,<e>Romney</e> is only good at insulting <e>Obama</e> never actually answering the questions he's asked... #team<e>Obama</e>,,_TEST_,,,,,,,
164,I just made a donation today to support President <e>Obama</e>. How about you? http://t.co/vZYl4n72,,_TEST_,,,,,,,
165, i'm afraid the rubes that believe <e>Obama</e>'s rhetoric will never see the light. i'm certain the<a> liberal media</a> 718will say <e>Obama</e> won.,,_TEST_,,,,,,,
166,#debate  Honesty here. Debate was good TV. <e>Obama</e> made up for lost ground. <e>Romney</e> maintained his gains from last <a>debate</a>.This was a DRAW!,,_TEST_,,,,,,,
167,.@MsLaceyLogan <a>Recession</a> was the inevitable result of the Bush-era fiscal<a> policies</a>. The ? was how bad it would be. <e>Obama</e> softened the blow.,,_TEST_,,,,,,,
168,"If I want to go to school <e>Obama</e> needs to win this <a>election</a>. My parents don't haven 40,000 just sitting around for me.",,_TEST_,,,,,,,
169,What has <e>Obama</e> done in 4 yrs? Please don't say <e>Obama</e> care that ain't in affect till 2014! Please explain?,,_TEST_,,,,,,,
170,<a>Healthcare</a> IS political! <e>Obama</e> vs. <e>Romney</e>: How they differ on health care issues http://t.co/iAYBuj3Fâ€  ðŸ¥ #healthcare http://t.co/5SHZbJR3,,_TEST_,,,,,,,
171,â€œ@thodson: Local Athens rabbi says the comment by #<e>Romney</e> last night about women in <a>binder</a> was not a joke to her.@woub for <e>Obama</e> rally.â€ #fb,,_TEST_,,,,,,,
172,"Fascinating graphic shows 2008, 2012 races. <e>Obama</e> downer. See at http://t.co/rkN96MHE #mitt2012 #teaparty #lnyhbt #tcot #tpp #twisters #crnc",,_TEST_,,,,,,,
173,Ohhmyy o<e>Obama</e> is getting destroyed by <a>debates</a> he's lost 2 atm <e>Romney</e> is puttin dirtt inn #USELECTIONS,,_TEST_,,,,,,,
174,<e>Obama</e> Needs To Make Up For First Lackluster <a>Debate</a>: President <e>Obama</e> faces a challenge in the second debat... http://t.co/tJAvQuXw #<e>Obama</e>,,_TEST_,,,,,,,
175,"There are lies, there are damn <a>lies</a>, then there are <e>Obama</e>'s <a>statistics</a>. @RepubGrlProbs",,_TEST_,,,,,,,
176,#<e>Obama</e> promised <a>transperancy</a> 4 yrs ago as a part of his own #sketchydeal. Here is what we got instead http://t.co/O71nDEy0.,,_TEST_,,,,,,,
177,<e>Obama</e> steps up criticism of <e>Romney</e> in battle for <a>women</a> voters: President in Iowa pokes fun of <e>Romney</e>'s 'binders ... http://t.co/0p2dDPPY,,_TEST_,,,,,,,
178,I uploaded a @YouTube video http://t.co/pzQERuIY <e>Obama</e> Wants To Cut <a>Military Spending</a>?,,_TEST_,,,,,,,
179,"Bon Jovi, Springsteen hit campaign trail for <e>Obama</e> - USA TODAY http://t.co/BHRllICs",,_TEST_,,,,,,,
180,Google News: <e>Obama</e> comes out swinging after debate - in swing states - Reuters http://t.co/aGgDnUT8,,_TEST_,,,,,,,
181,"Speaking of journalists following suit for <e>Obama</e>, Crowley seemed ready to interject the <a>Rose Garden</a> transcript for <e>Obama</e> last night.",,_TEST_,,,,,,,
182,Fact-Checking <e>Obama</e> and <e>Romney</e> on Apple and China http://t.co/gqTYB2fM via @mashable,,_TEST_,,,,,,,
183, If Herman Cain was running against Barack <e>Obama</e> wouldn't nobody be into the election,,_TEST_,,,,,,,
184," I need to see the <a>debate</a> from last night!!! Hope <e>Obama</e> destroyed <e>Romney</e>, cannot stand him.",,_TEST_,,,,,,,
185, Obama all the way,,_TEST_,,,,,,,
186, Wasn't Obama president the last four years?  Enough!!!,,_TEST_,,,,,,,
187,#comment-4479427 http://t.co/yAxEi8j9How doesa anyone think ANY one can <a>make more change<a/> than <e>Obama</e> has in <a>4 years</a>- THINK ABOUT IT,,_TEST_,,,,,,,
188,<e>Obama</e> is the <a>chillest president</a> EVER,,_TEST_,,,,,,,
189,The comments are awesome --> <e>Obama</e> would <a>win</a> a <a>worldwide vote</a> â€” by a <a>landslide</a> http://t.co/TfZpFik1,,_TEST_,,,,,,,
190,@Blazing_Ben Bush brought the US down! <e>Obama</e> is working to get us back on top! Unemployment is down to the same level it was with Reagan,,_TEST_,,,,,,,
191,<e>Obama</e> <a>needs</a> to <a>do better</a> this second time around.,,_TEST_,,,,,,,
192,"""@BlowMyKush_Hoe: The people voting better vote for <e>Obama</e> or ya'll bitches ain't gone have no food stamps ðŸ˜‚ðŸ˜‚"" your racist l o l",,_TEST_,,,,,,,
193,<e>Obama</e> has some of the <a>most knowledgeable</a> and <a>informed voters</a> on the via youtube,,_TEST_,,,,,,,
194,President <e>Obama</e>â€™s â€˜proudâ€™ <a>statements</a> on improving US image <a>might boomerang</a>- The Hill's DEFCON Hill http://t.co/cTKEcJaA,,_TEST_,,,,,,,
195,"Go get 'em, Pres <e>Obama</e> - win this one for Seamus! And the rest of us.http://t.co/vU9XdyFZ",,_TEST_,,,,,,,
196,I agree. In 2008 he did do this and it still resonates - Jay-Z: <e>Obama</e> restored faith in â€˜power of our voteâ€™ | http://t.co/c7KzDRIs,,_TEST_,,,,,,,
197,#shitnoonesays I'm so glad <e>Obama</e> <a>fixed</a> our <a>economy</a>.,,_TEST_,,,,,,,
198,"Really <a>Hope<a> <e>Obama</e> <a>Wins</a> this <a>Election</a> , Womens Rights are really on the line smh.. #VotingFor<e>Obama</e> #MakeSureYouVote",,_TEST_,,,,,,,
199,"@Jake_Gyllenhaal Congrats on thinking for yourself re:<e>Obama</e>.  Prepare for the hate, but be strong, you are not alone.",,_TEST_,,,,,,,
200,Jay-Z's <e>Obama</e> <a>Campaign Ad</a> <a>Inspires</a> Young People To VOTE! http://t.co/lK6nRIpA,,_TEST_,,,,,,,
201,"@MittRomney -- During 2008 debate, <e>Obama</e> blasted George Bush for $10 trillion deficit -- http://t.co/AT8Dx9vG",,_TEST_,,,,,,,
202,"President <e>Obama</e> opened the doors ofgreat diversity 2 millions of ppl, students &encouragement 4 all races, creeds & religions.",,_TEST_,,,,,,,
203,"@Tom_Francois This is why we need to strengthen <a>education</a> and support teachers, like <e>Obama</e> <a>says</a>.",,_TEST_,,,,,,,
204,"Don't vote for <e>Obama</e>, he works for the government.",,_TEST_,,,,,,,
205,@TheReidReport We can't rest until our POTUS is reelected.  It's our future. We don't need a car salesman in the white house. <e>Obama</e> 2012 !,,_TEST_,,,,,,,
206, @tomrutland Consensus seems to be <e>Obama</e> won but not flat out like Romney did last time. Google 'Binders full of women'. #romneyshambles,,_TEST_,,,,,,,
207, Somebody said the only reason black voting for <e>Obama</e> is because he's black not true we voting for Obama because he's right for the job,,_TEST_,,,,,,,
